system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,2.262,2.2414,4.3276,4.1923,4.4381,4.0745,16.7437
aya_owsm4.0-ctc,2.6338,2.5445,4.8147,4.6254,4.8456,3.6387,5.8224
aya_seamlessm4t,1.8272,1.9576,4.3784,4.2109,4.3831,3.5044,5.39
aya_whisper,2.5279,2.4295,4.4001,4.3625,4.5467,3.3381,5.9917
canary-v2,2.9389,25.0,5.7577,4.8438,5.4607,5.1455,23.162
desta2-8b,5.1436,12.2178,7.6783,6.9542,8.0868,6.0838,8.4192
gemma_canary-v2,2.3253,2.2094,4.6469,4.3881,4.7565,4.2313,22.9782
gemma_owsm4.0-ctc,2.705,2.4595,5.2166,4.8624,5.2972,3.8443,6.4403
gemma_seamlessm4t,1.8666,1.9213,4.6888,4.3633,4.6564,3.5965,5.8571
owsm4.0-ctc,6.2494,5.0642,13.9689,9.9102,11.6046,9.81,19.7616
phi4multimodal,9.0187,5.5214,6.771,7.337,6.2843,4.0735,11.823
qwen2audio-7b,4.1589,2.9889,7.1252,5.905,6.7674,5.3859,6.4984
seamlessm4t,2.1777,3.0468,5.1551,4.6519,4.8128,3.788,6.3393
tower_canary-v2,2.3252,2.1487,4.3886,4.2812,4.6591,4.1268,22.9997
tower_owsm4.0-ctc,2.7199,2.4498,4.9809,4.7197,5.1175,3.7142,6.1648
tower_seamlessm4t,1.8865,1.8649,4.4923,4.2614,4.5385,3.5073,5.7066
voxtral-small-24b,2.4691,2.3718,4.6868,4.2343,4.7782,3.378,7.7433
whisper,,,7.0576,5.7859,6.7059,4.3532,10.0767
