system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,1.9504,2.1592,3.4758,3.3208,3.4809,3.652,15.9407
aya_owsm4.0-ctc,2.3163,2.3902,3.9701,3.7563,3.9345,3.2055,3.9381
aya_seamlessm4t,1.5135,1.8845,3.527,3.3662,3.4861,3.0989,3.5303
aya_whisper,2.2029,2.326,3.5197,3.4681,3.6042,2.8818,4.309
canary-v2,2.5327,20.2468,4.8247,3.9675,4.3172,4.6607,18.9446
desta2-8b,4.7861,7.7617,6.9125,6.3391,7.524,5.6681,7.4511
gemma_canary-v2,2.0168,2.1696,3.7062,3.4366,3.6126,3.7953,18.2784
gemma_owsm4.0-ctc,2.4295,2.4279,4.279,3.9177,4.1411,3.3682,4.3147
gemma_seamlessm4t,1.5752,1.892,3.7537,3.4668,3.5902,3.1796,3.7155
owsm4.0-ctc,5.8438,5.0175,12.9135,8.9633,10.3759,9.2056,17.552
phi4multimodal,6.3063,4.18,4.6742,5.4387,4.6106,3.3648,4.5601
qwen2audio-7b,3.5937,2.91,6.1235,5.002,5.5504,4.8076,4.0154
seamlessm4t,1.8467,3.0169,4.2941,3.8191,4.0835,3.3984,5.1909
tower_canary-v2,1.9761,2.1144,3.442,3.3276,3.4505,3.6675,17.9197
tower_owsm4.0-ctc,2.3831,2.4148,4.0243,3.7985,3.9457,3.2363,3.8973
tower_seamlessm4t,1.5301,1.8288,3.5214,3.3763,3.415,3.0882,3.4815
voxtral-small-24b,2.0335,2.3108,3.5996,3.268,3.4769,2.8846,5.421
whisper,,,6.0413,4.8412,5.4872,3.818,7.9533
