system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9232,0.8631,0.849,0.8507,0.8162,0.8186,0.1677
aya_owsm4.0-ctc,0.9108,0.8435,0.8232,0.829,0.794,0.8389,0.7433
aya_seamlessm4t,0.9412,0.8874,0.8497,0.8504,0.8237,0.8522,0.7626
aya_whisper,0.9096,0.8475,0.8453,0.84,0.8079,0.8551,0.7197
canary-v2,0.9074,0.0,0.8127,0.8335,0.7852,0.7869,0.0613
desta2-8b,0.7967,0.427,0.5868,0.6175,0.5248,0.6153,0.5168
gemma_canary-v2,0.919,0.8553,0.8388,0.8422,0.8039,0.8101,0.0602
gemma_owsm4.0-ctc,0.9071,0.8367,0.81,0.8186,0.7752,0.8313,0.7199
gemma_seamlessm4t,0.9381,0.8824,0.8399,0.8428,0.8119,0.846,0.7428
owsm4.0-ctc,0.8203,0.7079,0.4267,0.6015,0.4905,0.5705,0.2043
phi4multimodal,0.6603,0.741,0.7631,0.7354,0.7658,0.8329,0.5144
qwen2audio-7b,0.8549,0.7991,0.6914,0.758,0.6932,0.7436,0.6934
seamlessm4t,0.9344,0.8403,0.8293,0.8429,0.814,0.8485,0.7477
tower_canary-v2,0.9214,0.8662,0.8496,0.8484,0.8118,0.8178,0.0448
tower_owsm4.0-ctc,0.9088,0.8467,0.8214,0.8273,0.7866,0.8354,0.734
tower_seamlessm4t,0.9394,0.8919,0.8471,0.8502,0.8186,0.8541,0.7557
voxtral-small-24b,0.9087,0.8513,0.8327,0.8511,0.8036,0.85,0.6514
whisper,,,0.748,0.7923,0.7299,0.8171,0.5785
