system,en_de,en_zh,de_en,es_en,it_en,pt_en,zh_en
aya_canary-v2,0.9354,0.8653,0.884,0.8862,0.8532,0.8327,0.189
aya_owsm4.0-ctc,0.9231,0.8469,0.8574,0.8643,0.8284,0.8534,0.8149
aya_seamlessm4t,0.9536,0.8894,0.8847,0.884,0.8583,0.8672,0.8312
aya_whisper,0.9223,0.8498,0.8807,0.876,0.844,0.871,0.7803
canary-v2,0.9239,0.934,0.8516,0.8697,0.8295,0.8035,0.1727
desta2-8b,0.8097,0.4929,0.6126,0.637,0.5383,0.6253,0.542
gemma_canary-v2,0.9312,0.8565,0.8774,0.8809,0.8477,0.8252,0.166
gemma_owsm4.0-ctc,0.9182,0.8377,0.8482,0.857,0.819,0.8478,0.8009
gemma_seamlessm4t,0.95,0.8833,0.8781,0.879,0.8527,0.8616,0.8225
owsm4.0-ctc,0.8377,0.7093,0.4672,0.6391,0.5361,0.5893,0.2795
phi4multimodal,0.9384,0.8588,0.8808,0.8891,0.8682,0.8733,0.8424
qwen2audio-7b,0.8836,0.8065,0.7317,0.7946,0.7416,0.7663,0.7867
seamlessm4t,0.9482,0.8417,0.8652,0.8763,0.8413,0.8623,0.7939
tower_canary-v2,0.9356,0.8673,0.8887,0.8873,0.8582,0.8339,0.1793
tower_owsm4.0-ctc,0.9226,0.8479,0.8603,0.8646,0.8313,0.852,0.821
tower_seamlessm4t,0.9536,0.8932,0.8868,0.8857,0.8622,0.8697,0.8382
voxtral-small-24b,0.9278,0.855,0.8778,0.891,0.8534,0.8689,0.7342
whisper,,,0.7899,0.8305,0.7775,0.8364,0.6502
